02-11 12:44:02.806 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.855 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.902 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:02.956 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.010 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.065 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=true
02-11 12:44:03.065 32143 32143 I SimplifiedCamera: MATCH SUCCESS: Sunrich Bottle (Face detected: false)
02-11 12:44:03.131 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.186 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.245 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.299 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.359 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.418 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.471 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.526 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.571 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.624 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.667 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.713 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.760 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.802 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.845 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.890 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.940 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:03.986 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.032 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.085 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.137 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.185 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.238 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.292 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.344 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.398 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.454 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.505 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.561 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.614 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.671 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.726 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.782 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.837 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.890 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.944 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:04.999 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:05.040 32143 32143 D ConversationalARService: Video completed. Current state: PLAYING_RESPONSE
02-11 12:44:05.134 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:05.204 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
02-11 12:44:05.257 32143 32143 D SimplifiedCamera: Diagnostics: Face=false, Match=false
