02-11 12:24:17.968 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.044 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.044 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.125 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.125 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.207 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.207 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.287 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.287 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.365 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.365 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.442 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.442 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.519 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.519 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.600 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.600 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.677 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.677 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.754 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.754 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.827 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.827 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.903 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.903 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:18.979 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:18.979 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.056 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.056 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.137 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.137 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.217 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=true
02-11 12:24:19.217 24127 24127 I SimplifiedCamera: HYBRID SUCCESS: Face + Sunrich Bottle
02-11 12:24:19.290 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.291 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.366 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.366 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.437 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.437 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.511 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.511 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.582 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.582 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.653 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.654 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.725 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.725 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.799 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.799 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.873 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.873 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:19.945 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:19.945 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:20.017 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:20.017 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
02-11 12:24:20.090 24127 24127 D SimplifiedCamera: Diagnostics: Face=true, Match=false
02-11 12:24:20.090 24127 24127 V SimplifiedCamera: FACE DETECTED BUT NO MATCH FOUND in backend.
